date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:42	4568/4568	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
12:25:42	12160/12160	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
12:25:42	13108/13108	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
12:25:43	5224/5224	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:25:43	7484/7484	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
12:25:44	6244/6244	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
12:25:44	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
12:25:44	4572/4572	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
12:25:45	12168/12168	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
12:25:45	12976/12976	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
12:25:46	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2017:52:19%20GMT	https://www.classcentral.com/images/fade-gradient.png	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
12:25:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Mar%202023%2018:25:51%20GMT	http://www.w3.org/2000/svg	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.w3.org/2000/svg.2b.delayed	(from https://www.classcentral.com/)
12:25:48	1503/1503	---M-Z	200	added ('OK')	text/html	etag:%225df-52e5b399c4ec0;5288c149e3b80	https://www.w3.org/2000/svg	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.w3.org/2000/svg.html	(from https://www.classcentral.com/)
12:25:50	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
12:25:50	246849/246849	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2002%20Mar%202023%2018:25:53%20GMT	https://www.googletagmanager.com/gtag/js?id=G-C254RZPQ1X	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.googletagmanager.com/gtag/jsc6b4	(from https://www.classcentral.com/)
12:25:51	601102/601102	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:25:54%20GMT	https://www.classcentral.com/rankings	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
12:25:53	593881/593881	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:25:56%20GMT	https://www.classcentral.com/collections	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
12:25:54	576396/576396	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:25:57%20GMT	https://www.classcentral.com/subjects	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
12:25:55	899255/899255	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:25:58%20GMT	https://www.classcentral.com/subject/cs	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
12:25:56	848745/848745	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:25:59%20GMT	https://www.classcentral.com/subject/health	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
12:25:56	7686/7686	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2018:25:59%20GMT	https://www.classcentral.com/subject/maths	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/subject/maths	(from https://www.classcentral.com/)
12:25:57	840921/840921	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:26:00%20GMT	https://www.classcentral.com/subject/business	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/subject/business.html	(from https://www.classcentral.com/)
12:25:58	7922/7922	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2018:26:02%20GMT	https://www.classcentral.com/subject/humanities	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/subject/humanities.36.delayed	(from https://www.classcentral.com/)
12:25:59	7733/7733	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2018:26:02%20GMT	https://www.classcentral.com/subject/engineering	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/subject/engineering	(from https://www.classcentral.com/)
12:26:01	843989/843989	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:26:04%20GMT	https://www.classcentral.com/subject/science	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/subject/science.html	(from https://www.classcentral.com/)
12:26:02	7898/7898	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2018:26:06%20GMT	https://www.classcentral.com/subject/education	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/subject/education.39.delayed	(from https://www.classcentral.com/)
